run_id,timestamp,pop,generations,initial_angle_deg,target_band,noise_band,best_fitness,run_dir
20260605_142648__pop-80__gen-500__angle-10p0,20260605_142648,80,500,10.000,0.900-2.200,5.000-20.000,6.490268,C:\Users\abele\OneDrive - Imperial College London\SLIP summer project\summer-project\outputs\runs\nn_only\20260605_142648__pop-80__gen-500__angle-10p0
20260605_150602__pop-80__gen-500__angle-20p0,20260605_150602,80,8,20.000,0.900-2.200,5.000-20.000,4.850244,C:\Users\abele\OneDrive - Imperial College London\SLIP summer project\summer-project\outputs\runs\nn_only\20260605_150602__pop-80__gen-500__angle-20p0
20260605_151030__pop-80__gen-500__angle-20p0,20260605_151030,80,105,20.000,0.900-2.200,5.000-20.000,5.870826,C:\Users\abele\OneDrive - Imperial College London\SLIP summer project\summer-project\outputs\runs\nn_only\20260605_151030__pop-80__gen-500__angle-20p0
20260605_152449__pop-80__gen-500__angle-20p0,20260605_152449,80,4,20.000,0.900-2.200,5.000-20.000,-18.978914,C:\Users\abele\OneDrive - Imperial College London\SLIP summer project\summer-project\outputs\runs\nn_only\20260605_152449__pop-80__gen-500__angle-20p0
20260605_154100__pop-80__gen-500__angle-20p0,20260605_154100,80,317,20.000,0.900-2.200,5.000-20.000,5.833086,C:\Users\abele\OneDrive - Imperial College London\SLIP summer project\summer-project\outputs\runs\nn_only\20260605_154100__pop-80__gen-500__angle-20p0
20260606_160106__pop-80__gen-200__angle-40p0,20260606_160106,80,200,40.000,0.900-2.200,5.000-20.000,5.193558,C:\Users\abele\OneDrive - Imperial College London\SLIP summer project\summer-project\outputs\runs\nn_only\20260606_160106__pop-80__gen-200__angle-40p0
20260606_165513__pop-80__gen-1__angle-40p0,20260606_165513,80,1,40.000,0.900-2.200,5.000-20.000,5.180832,C:\Users\abele\OneDrive - Imperial College London\SLIP summer project\summer-project\outputs\runs\nn_only\20260606_165513__pop-80__gen-1__angle-40p0
20260606_170045__pop-80__gen-200__angle-40p0,20260606_170045,80,2,40.000,0.900-2.200,5.000-20.000,5.198457,C:\Users\abele\OneDrive - Imperial College London\SLIP summer project\summer-project\outputs\runs\nn_only\20260606_170045__pop-80__gen-200__angle-40p0
20260606_170228__pop-80__gen-200__angle-60p0,20260606_170228,80,5,60.000,0.900-2.200,5.000-20.000,2.164311,C:\Users\abele\OneDrive - Imperial College London\SLIP summer project\summer-project\outputs\runs\nn_only\20260606_170228__pop-80__gen-200__angle-60p0
20260606_170516__pop-80__gen-1__angle-60p0,20260606_170516,80,1,60.000,0.900-2.200,5.000-20.000,2.159485,C:\Users\abele\OneDrive - Imperial College London\SLIP summer project\summer-project\outputs\runs\nn_only\20260606_170516__pop-80__gen-1__angle-60p0
20260606_170631__pop-80__gen-200__angle-60p0,20260606_170631,80,42,60.000,0.900-2.200,5.000-20.000,2.183469,C:\Users\abele\OneDrive - Imperial College London\SLIP summer project\summer-project\outputs\runs\nn_only\20260606_170631__pop-80__gen-200__angle-60p0
20260608_121900__pop-80__gen-200__angle-120p0,20260608_121900,80,63,120.000,0.900-2.200,5.000-20.000,-21.642664,C:\Users\abele\OneDrive - Imperial College London\SLIP summer project\summer-project\outputs\runs\nn_only\20260608_121900__pop-80__gen-200__angle-120p0
20260608_123520__pop-80__gen-200__angle-120p0,20260608_123520,80,116,120.000,0.900-2.200,5.000-20.000,-21.660598,C:\Users\abele\OneDrive - Imperial College London\SLIP summer project\summer-project\outputs\runs\nn_only\20260608_123520__pop-80__gen-200__angle-120p0
